<#f0f000>:Special Moves:</>
------------------------------------------------------------------------		
--------------------------------------------------------------------------		
---------------------------------------------------------------------		^A_+^X
--------------------------------------------------------------------------		

<#f0f000>:Super Moves:</>
---------------------------------------------------------------------- <#bebebe>(23250325220602000)</>		
---------------------------------------------------------------------- <#bebebe>(23200320220601000)</>		
---------------------------------------------------------------------- <#bebebe>(23150315120602000)</>		
---------------------------------------------------------------------- <#bebebe>(23100310120601000)</>		
---------------------------------------------------------------------- <#bebebe>(2305020602000)</>		
---------------------------------------------------------------------- <#bebebe>(100020)</>		_QBD[^C/^Z]
------------------------------------------------------------------------- <#bebebe>(20)</>		
