<#f0f000>:Special Moves:</>
Grosse Sklaven                                              		_QDF_QDB^LP_+^HP
MAX Grosse Kreis                                            		_QDF_QDF^MK_+^HK
Grosse Kreis 2                                              		_QDF_QDF^HK
Grosse Kreis                                                		_QDF_QDF^MK
Grosse Kronprinz                                            		_F_HCF^HP
EX Grosse Wand                                              		_QDF^LP_+^HP
EX Grosse Zerstorung                                        		_QDB^LK_+^HK
EX Grossen Drucken                                          		_HCB^LP_+^HP
EX Rising Kicken                                            		_QDF^LK_+^HK
EX Grosse Kicken                                            		_QDF^LK_+^HK
Grosse Wand                                                 		_QDF^HP
Grosse Zerstorung                                           		_QDB^HK
Grossen Drucken                                             		_HCB^HP
Rising Kicken H                                             		_QDF^HK
Rising Kicken M                                             		_QDF^MK
Rising Kicken L                                             		_QDF^LK
Grosse Kicken                                               		_QDF^HK
Rose                                                        		_QDF^S
Roll Forward                                                		^LK_+^LP
Roll Backward                                               		^LK_+^LP
Dodge                                                       		^LK_+^LP
Normal Attack Zero Counter                                  		_QBD?
Special Move Zero Counter                                   		
Custom Combo                                                		^HK_+^HP
Power Charge                                                		
Drucken                                                     		
Crouching Heavy Punch                                       		
Crouching Heavy Kick                                        		
Crouching Medium Punch                                      		
Crouching Medium Kick                                       		
Crouching Light Punch                                       		
Crouching Light Kick                                        		

<#f0f000>:Hyper Moves:</>
